NAME;COUNTRY_ISO_CODE;NACE2_CORE_CODE;CONSOLIDATION_CODE;YEAR_LAST_ACCOUNTS;BVD_ID_NUMBER;ORBISID;BVD_SECTOR_CORE_LABEL;NACE2_CORE_LABEL;INDUSTRY_PRIMARY_LABEL;WORLD_REGION;TOAS_2022;TOAS_2021;TOAS_2020;TOAS_2019;TOAS_2018;TOAS_2017;OPRE_2022;OPRE_2021;OPRE_2020;OPRE_2019;OPRE_2018;OPRE_2017;COST_2022;COST_2021;COST_2020;COST_2019;COST_2018;COST_2017;EMPL_2022;EMPL_2021;EMPL_2020;EMPL_2019;EMPL_2018;EMPL_2017
WALMART INC.;US;4711;C1;2022;US710415188;049986723;Retail;Retail sale in non-specialised stores with food, beverages or tobacco predominating;Grocery stores;North America;243.197.000;244.860.000;252.496.000;236.495.000;219.295.000;204.522.000;611.289.000;572.754.000;559.151.000;523.964.000;514.405.000;500.343.000;452.776.000;418.300.000;409.115.000;383.605.000;374.601.000;362.867.000;2.100.000;2.300.000;2.300.000;2.200.000;2.200.000;2.300.000
AMAZON.COM, INC.;US;4791;C1;2022;US911646860;001812590;Retail;Retail sale via mail order houses or via Internet;Catalog and mail-order houses;North America;462.675.000;420.549.000;321.195.000;225.248.000;162.648.000;131.310.000;513.983.000;469.822.000;386.064.000;280.522.000;232.887.000;177.866.000;263.327.000;248.932.000;216.598.000;149.821.000;127.018.000;109.622.000;1.541.000;1.608.000;1.298.000;798.000;647.500;566.000
EXXON MOBIL CORP;US;1920;C1;2022;US135409005;000002269;Chemicals, Petroleum, Rubber & Plastic;Manufacture of refined petroleum products;Petroleum refining;North America;369.067.000;338.923.000;332.750.000;362.597.000;346.196.000;348.691.000;398.675.000;276.692.000;178.574.000;255.583.000;279.332.000;237.162.000;271.568.000;191.199.000;124.438.000;180.627.000;192.854.000;162.345.000;62.000;63.000;72.000;74.900;71.000;69.600
APPLE INC.;US;2630;C1;2022;US942404110;000411117;Communications;Manufacture of communication equipment;Radio and television broadcasting and communications equipment;North America;352.755.000;351.002.000;323.888.000;338.516.000;365.725.000;375.319.000;394.328.000;365.817.000;274.515.000;260.174.000;265.595.000;229.234.000;212.442.000;201.697.000;158.503.000;149.235.000;152.853.000;131.648.000;164.000;154.000;147.000;137.000;132.000;123.000
CVS HEALTH CORPORATION;US;4773;C1;2022;US050494040;000003247;Retail;Dispensing chemist in specialised stores;Drug stores and proprietary stores;North America;228.275.000;232.999.000;230.715.000;222.449.000;196.456.000;95.131.000;322.467.000;292.111.000;268.706.000;256.776.000;194.579.000;184.786.000;192.645.000;171.203.000;159.540.000;154.348.000;153.729.000;150.931.000;300.000;300.000;300.000;290.000;295.000;332.000
ALPHABET INC.;US;6209;C1;2022;US611767919;319522152;Media & Broadcasting;Other information technology and computer service activities;Information retrieval services;North America;365.264.000;359.268.000;319.616.000;275.909.000;232.792.000;197.295.000;282.836.000;257.637.000;182.527.000;161.857.000;136.819.000;110.855.000;110.274.000;98.509.000;71.053.000;60.245.000;50.520.000;38.684.000;190.234;156.500;135.301;118.899;98.771;80.110
CHEVRON CORPORATION;US;1920;C1;2022;US940890210;000003619;Chemicals, Petroleum, Rubber & Plastic;Manufacture of refined petroleum products;Petroleum refining;North America;257.709.000;239.535.000;239.790.000;237.428.000;253.863.000;253.806.000;235.717.000;155.606.000;94.471.000;140.156.000;158.767.000;134.779.000;145.416.000;89.372.000;50.488.000;80.096.000;94.545.000;75.756.000;43.846;42.595;47.736;48.200;48.600;51.900
COSTCO WHOLESALE CORP;US;4719;C1;2022;US911223280;000637903;Retail;Other retail sale in non-specialised stores;Miscellaneous general merchandise stores;North America;64.166.000;59.268.000;55.556.000;45.400.000;40.830.000;36.347.000;226.954.000;195.929.000;166.761.000;152.703.000;141.576.000;129.025.000;197.482.000;168.903.000;143.217.000;131.394.000;121.715.000;110.512.000;304.000;288.000;273.000;254.000;245.000;231.000
MICROSOFT CORPORATION;US;5829;C1;2022;US911144442;000507951;Industrial, Electric & Electronic Machinery;Other software publishing;Prepackaged software;North America;364.840.000;333.779.000;301.311.000;286.556.000;258.848.000;250.312.000;198.270.000;168.088.000;143.015.000;125.843.000;110.360.000;96.571.000;48.050.000;40.546.000;33.282.000;30.940.000;28.092.000;25.483.000;221.000;181.000;163.000;144.000;131.000;124.000
CARDINAL HEALTH INC;US;4645;C1;2022;US310958666;000587542;Wholesale;Wholesale of perfume and cosmetics;Drugs, drug proprietaries, and druggists' sundries wholesale dealing in;North America;43.878.000;44.453.000;40.766.000;40.963.000;39.951.000;40.112.000;181.364.000;162.467.000;152.922.000;145.534.000;136.809.000;129.976.000;174.407.000;155.312.000;145.649.000;138.231.000;129.170.000;123.107.000;46.500;47.300;48.000;49.500;50.200;40.400
VALERO ENERGY CORP;US;1920;C1;2022;US741828067;000511886;Chemicals, Petroleum, Rubber & Plastic;Manufacture of refined petroleum products;Petroleum refining;North America;60.982.000;57.888.000;51.774.000;53.864.000;50.155.000;50.158.000;176.383.000;113.977.000;64.912.000;108.324.000;117.033.000;93.980.000;157.182.000;108.490.000;63.368.000;101.433.000;109.257.000;87.263.000;9.743;9.813;9.964;10.222;10.261;10.015
FORD MOTOR CO;US;2910;C1;2022;US380549190;058618674;Transport Manufacturing;Manufacture of motor vehicles;Motor vehicles and passenger car bodies;North America;255.884.000;257.035.000;267.261.000;258.537.000;256.540.000;258.496.000;158.057.000;136.341.000;127.144.000;155.900.000;160.338.000;156.776.000;133.219.000;112.585.000;112.585.000;133.716.000;136.450.000;131.245.000;173.000;183.000;186.000;190.000;199.000;202.000
HOME DEPOT INC;US;4778;C1;2022;US953261426;000470652;Retail;Other retail sale of new goods in specialised stores;Lumber and other building materials dealers;North America;76.445.000;71.876.000;70.581.000;51.236.000;44.003.000;44.529.000;157.403.000;151.157.000;132.110.000;110.225.000;108.203.000;100.904.000;104.105.000;99.849.000;86.866.000;72.346.000;70.761.000;66.297.000;471.600;490.600;504.800;415.700;413.000;413.000
VERIZON COMMUNICATIONS INC;US;6190;C1;2022;US232259884;059967977;Communications;Other telecommunications activities;Radiotelephone communications;North America;379.680.000;366.596.000;316.481.000;291.727.000;264.829.000;257.143.000;136.835.000;133.613.000;128.292.000;131.868.000;130.863.000;126.034.000;59.133.000;56.301.000;51.201.000;54.726.000;55.182.000;52.892.000;117.100;118.400;132.200;135.000;144.500;155.400
COMCAST CORPORATION;US;6190;C1;2022;US270000798;000384002;Communications;Other telecommunications activities;Telephone communications, except radiotelephone;North America;257.275.000;275.905.000;273.869.000;263.414.000;251.684.000;187.462.000;121.427.000;116.385.000;103.564.000;108.942.000;94.507.000;85.029.000;38.213.000;38.450.000;33.121.000;34.440.000;29.692.000;25.355.000;186.000;189.000;168.000;190.000;184.000;164.000
AT&T INC.;US;6190;C1;2022;US431301883;000647735;Communications;Other telecommunications activities;Telephone communications, except radiotelephone;North America;402.853.000;551.622.000;525.761.000;551.669.000;531.864.000;444.097.000;120.741.000;134.038.000;143.050.000;181.193.000;170.756.000;160.546.000;50.848.000;60.407.000;65.651.000;84.141.000;79.419.000;77.810.000;160.700;203.000;230.000;246.000;268.000;252.000
META PLATFORMS, INC.;US;6209;C1;2022;US201665019;025189004;Media & Broadcasting;Other information technology and computer service activities;Information retrieval services;North America;185.727.000;165.987.000;159.316.000;133.376.000;97.334.000;84.524.000;116.609.000;117.929.000;85.965.000;70.697.000;55.838.000;40.653.000;15.068.000;14.682.000;9.829.000;7.028.000;5.035.000;2.429.000;86.482;71.970;58.604;44.942;35.587;25.105
DELL TECHNOLOGIES INC.;US;2620;C1;2022;US800890963;178448531;Computer Hardware;Manufacture of computers and peripheral equipment;Electronic computers;North America;89.611.000;92.735.000;123.415.000;118.861.000;111.820.000;124.193.000;102.301.000;101.197.000;86.670.000;84.815.000;90.621.000;79.040.000;76.459.000;74.755.000;61.140.000;58.033.000;57.822.000;49.869.000;133.000;133.000;158.000;165.000;157.000;145.000
PFIZER INC;US;2120;C1;2022;US135315170;000003136;Chemicals, Petroleum, Rubber & Plastic;Manufacture of pharmaceutical preparations;Pharmaceutical preparations;North America;197.205.000;181.476.000;154.229.000;167.594.000;159.422.000;171.797.000;100.330.000;81.288.000;41.651.000;41.172.000;40.825.000;52.546.000;33.136.000;29.197.000;6.976.000;6.495.000;7.224.000;9.327.000;83.000;79.000;78.500;88.300;92.400;90.200
PEPSICO INC;US;1107;C1;2022;US131584302;000002820;Food & Tobacco Manufacturing;"Manufacture of soft drinks; production of mineral waters and other bottled waters";Bottled and canned soft drinks and carbonated waters;North America;92.187.000;92.377.000;92.918.000;78.547.000;77.648.000;79.804.000;86.392.000;79.474.000;70.372.000;67.161.000;64.661.000;63.525.000;37.439.000;34.335.000;29.187.000;27.551.000;26.979.000;26.427.000;315.000;309.000;291.000;267.000;267.000;263.000
SHELL PLC;GB;0610;C1;2022;GB04366849;011212252;Mining & Extraction;Extraction of crude petroleum;Crude petroleum and natural gas;Western Europe;443.024.000;404.379.000;379.268.000;404.336.000;399.194.000;407.097.000;381.314.000;261.845.000;180.816.000;345.056.000;388.483.000;305.406.000;258.488.000;174.912.000;117.093.000;252.983.000;294.399.000;223.447.000;93.000;82.000;87.000;83.000;81.000;84.000
VOLKSWAGEN AG;DE;2910;C2;2022;DE2070000543;006740194;Transport Manufacturing;Manufacture of motor vehicles;Motor vehicles and passenger car bodies;Western Europe;564.772.000;528.609.000;497.114.000;488.071.000;458.156.000;422.193.000;291.213.000;260.640.000;231.242.000;259.859.000;243.725.000;235.920.000;184.156.000;167.160.000;149.654.000;169.144.000;167.806.000;163.803.000;646.837;643.297;662.575;671.205;664.500;642.300
UNIPER SE;DE;3513;C2;2022;DE8350117034;002851706;Utilities;Distribution of electricity;Combination utilities, not elsewhere specified;Western Europe;121.477.000;128.397.000;40.222.000;43.756.000;50.605.000;43.161.000;278.207.000;164.841.100;51.687.000;66.351.000;84.522.000;73.211.000;277.126.000;157.023.000;48.793.000;63.395.000;74.698.000;69.485.000;7.008;11.494;11.751;11.532;11.780;12.180
TOTALENERGIES SE;FR;0610;C1;2022;FR542051180;003846950;Mining & Extraction;Extraction of crude petroleum;Crude petroleum and natural gas;Western Europe;303.864.000;293.458.000;266.132.000;273.294.000;256.762.000;242.631.000;263.536.000;184.829.000;120.234.000;176.504.000;184.651.000;149.341.000;159.240.000;118.171.000;77.486.000;116.221.000;125.816.000;99.411.000;101.279;101.309;105.476;107.776;104.460;98.277
BP P.L.C.;GB;0610;C1;2022;GB00102498;003902763;Mining & Extraction;Extraction of crude petroleum;Extraction of crude petroleum;Western Europe;288.120.000;287.272.000;267.654.000;295.194.000;282.176.000;276.515.000;242.065.000;158.094.000;180.789.000;278.746.000;299.069.000;240.577.000;159.837.000;109.909.000;144.689.000;223.162.000;243.922.000;195.517.000;67.500;65.845;63.545;70.100;73.000;74.000
E.ON SE;DE;7010;C2;2022;DE5050056484;002531495;Business Services;Activities of head offices;Management activities of holding companies;Western Europe;134.009.000;119.759.000;95.385.000;98.566.000;54.324.000;55.950.000;116.751.000;79.011.000;62.361.000;42.580.000;31.134.000;41.876.000;108.501.000;78.074.000;47.105.000;32.251.000;22.797.000;29.957.000;71.613;72.169;78.126;78.948;43.302;42.699
FORTUM OYJ;FI;3511;C1;2022;FI14636114;003208011;Utilities;Production of electricity;Electric services;Western Europe;23.642.000;149.661.000;57.810.000;23.364.000;22.409.000;21.753.000;188.266.000;115.361.000;50.343.000;5.559.000;5.474.000;4.573.000;137.636.000;105.170.000;44.298.000;2.721.000;2.795.000;2.302.000;7.712;19.140;19.933;8.191;8.286;8.785
STELLANTIS N.V.;NL;2910;C1;2022;NL60372958;175496470;Transport Manufacturing;Manufacture of motor vehicles;Motor vehicles and passenger car bodies;Western Europe;186.156.000;171.766.000;99.730.000;98.044.000;96.873.000;96.299.000;179.592.000;149.419.000;86.676.000;109.844.000;110.412.000;111.829.000;137.401.000;115.554.000;69.905.000;86.374.000;89.191.000;88.087.000;282.926;292.434;191.705;198.772;203.122;237.150
